,Cancer Sites,Age Group Code,Sex,Race,Year,Count,Population,Rate
214,All Cancer Sites Combined,55-59,Male,Black or African American,2003.0,705.0,51786.0,1361.4
215,All Cancer Sites Combined,55-59,Male,Black or African American,2004.0,720.0,54861.0,1312.4
216,All Cancer Sites Combined,55-59,Male,Black or African American,2005.0,698.0,58982.0,1183.4
217,All Cancer Sites Combined,55-59,Male,Black or African American,2006.0,771.0,62903.0,1225.7
218,All Cancer Sites Combined,55-59,Male,Black or African American,2007.0,772.0,64675.0,1193.7
219,All Cancer Sites Combined,55-59,Male,Black or African American,2008.0,808.0,66449.0,1216.0
220,All Cancer Sites Combined,55-59,Male,Black or African American,2009.0,843.0,69231.0,1217.7
221,All Cancer Sites Combined,55-59,Male,Black or African American,2010.0,817.0,72115.0,1132.9
222,All Cancer Sites Combined,55-59,Male,Black or African American,2011.0,804.0,74881.0,1073.7
223,All Cancer Sites Combined,60-64,Female,Black or African American,1999.0,446.0,40715.0,1095.4
224,All Cancer Sites Combined,60-64,Female,Black or African American,2000.0,423.0,41768.0,1012.7
225,All Cancer Sites Combined,60-64,Female,Black or African American,2001.0,438.0,42700.0,1025.8
226,All Cancer Sites Combined,60-64,Female,Black or African American,2002.0,495.0,43881.0,1128.1
227,All Cancer Sites Combined,60-64,Female,Black or African American,2003.0,493.0,45470.0,1084.2
228,All Cancer Sites Combined,60-64,Female,Black or African American,2004.0,507.0,46688.0,1085.9
229,All Cancer Sites Combined,60-64,Female,Black or African American,2005.0,520.0,47407.0,1096.9
230,All Cancer Sites Combined,60-64,Female,Black or African American,2006.0,482.0,48285.0,998.2
231,All Cancer Sites Combined,60-64,Female,Black or African American,2007.0,564.0,51292.0,1099.6
232,All Cancer Sites Combined,60-64,Female,Black or African American,2008.0,543.0,53765.0,1010.0
233,All Cancer Sites Combined,60-64,Female,Black or African American,2009.0,692.0,57271.0,1208.3
234,All Cancer Sites Combined,60-64,Female,Black or African American,2010.0,625.0,61534.0,1015.7
235,All Cancer Sites Combined,60-64,Female,Black or African American,2011.0,732.0,65348.0,1120.2
236,All Cancer Sites Combined,60-64,Male,Black or African American,1999.0,786.0,35939.0,2187.0
237,All Cancer Sites Combined,60-64,Male,Black or African American,2000.0,744.0,36897.0,2016.4
238,All Cancer Sites Combined,60-64,Male,Black or African American,2001.0,801.0,37322.0,2146.2
239,All Cancer Sites Combined,60-64,Male,Black or African American,2002.0,770.0,37958.0,2028.6
240,All Cancer Sites Combined,60-64,Male,Black or African American,2003.0,728.0,38768.0,1877.8
241,All Cancer Sites Combined,60-64,Male,Black or African American,2004.0,740.0,39941.0,1852.7
242,All Cancer Sites Combined,60-64,Male,Black or African American,2005.0,762.0,40609.0,1876.4
243,All Cancer Sites Combined,60-64,Male,Black or African American,2006.0,810.0,41311.0,1960.7
244,All Cancer Sites Combined,60-64,Male,Black or African American,2007.0,844.0,43615.0,1935.1
245,All Cancer Sites Combined,60-64,Male,Black or African American,2008.0,847.0,46646.0,1815.8
246,All Cancer Sites Combined,60-64,Male,Black or African American,2009.0,928.0,49515.0,1874.2
247,All Cancer Sites Combined,60-64,Male,Black or African American,2010.0,957.0,53720.0,1781.5
248,All Cancer Sites Combined,60-64,Male,Black or African American,2011.0,968.0,56934.0,1700.2
249,All Cancer Sites Combined,65-69,Female,Black or African American,1999.0,464.0,33293.0,1393.7
250,All Cancer Sites Combined,65-69,Female,Black or African American,2000.0,432.0,33717.0,1281.3
251,All Cancer Sites Combined,65-69,Female,Black or African American,2001.0,470.0,34758.0,1352.2
252,All Cancer Sites Combined,65-69,Female,Black or African American,2002.0,471.0,35842.0,1314.1
253,All Cancer Sites Combined,65-69,Female,Black or African American,2003.0,476.0,36908.0,1289.7
254,All Cancer Sites Combined,65-69,Female,Black or African American,2004.0,526.0,37806.0,1391.3
255,All Cancer Sites Combined,65-69,Female,Black or African American,2005.0,533.0,38641.0,1379.4
256,All Cancer Sites Combined,65-69,Female,Black or African American,2006.0,541.0,39127.0,1382.7
257,All Cancer Sites Combined,65-69,Female,Black or African American,2007.0,557.0,40033.0,1391.4
258,All Cancer Sites Combined,65-69,Female,Black or African American,2008.0,563.0,41360.0,1361.2
259,All Cancer Sites Combined,65-69,Female,Black or African American,2009.0,582.0,42798.0,1359.9
260,All Cancer Sites Combined,65-69,Female,Black or African American,2010.0,604.0,43933.0,1374.8
261,All Cancer Sites Combined,65-69,Female,Black or African American,2011.0,609.0,44844.0,1358.0
262,All Cancer Sites Combined,65-69,Male,Black or African American,1999.0,712.0,27818.0,2559.5
263,All Cancer Sites Combined,65-69,Male,Black or African American,2000.0,812.0,28137.0,2885.9
264,All Cancer Sites Combined,65-69,Male,Black or African American,2001.0,819.0,29423.0,2783.5
265,All Cancer Sites Combined,65-69,Male,Black or African American,2002.0,822.0,30583.0,2687.8
266,All Cancer Sites Combined,65-69,Male,Black or African American,2003.0,803.0,31540.0,2546.0
267,All Cancer Sites Combined,65-69,Male,Black or African American,2004.0,865.0,32243.0,2682.8
268,All Cancer Sites Combined,65-69,Male,Black or African American,2005.0,848.0,32517.0,2607.9
269,All Cancer Sites Combined,65-69,Male,Black or African American,2006.0,823.0,32361.0,2543.2
270,All Cancer Sites Combined,65-69,Male,Black or African American,2007.0,874.0,32754.0,2668.4
271,All Cancer Sites Combined,65-69,Male,Black or African American,2008.0,774.0,33272.0,2326.3
272,All Cancer Sites Combined,65-69,Male,Black or African American,2009.0,835.0,34521.0,2418.8
273,All Cancer Sites Combined,65-69,Male,Black or African American,2010.0,840.0,35557.0,2362.4
274,All Cancer Sites Combined,65-69,Male,Black or African American,2011.0,829.0,36577.0,2266.5
275,All Cancer Sites Combined,70-74,Female,Black or African American,1999.0,425.0,27170.0,1564.2
276,All Cancer Sites Combined,70-74,Female,Black or African American,2000.0,420.0,27866.0,1507.2
277,All Cancer Sites Combined,70-74,Female,Black or African American,2001.0,453.0,28095.0,1612.4
278,All Cancer Sites Combined,70-74,Female,Black or African American,2002.0,415.0,28183.0,1472.5
279,All Cancer Sites Combined,70-74,Female,Black or African American,2003.0,445.0,28724.0,1549.2
280,All Cancer Sites Combined,70-74,Female,Black or African American,2004.0,464.0,29443.0,1575.9
281,All Cancer Sites Combined,70-74,Female,Black or African American,2005.0,467.0,30047.0,1554.2
282,All Cancer Sites Combined,70-74,Female,Black or African American,2006.0,459.0,30629.0,1498.6
283,All Cancer Sites Combined,70-74,Female,Black or African American,2007.0,519.0,31388.0,1653.5
284,All Cancer Sites Combined,70-74,Female,Black or African American,2008.0,474.0,32092.0,1477.0
285,All Cancer Sites Combined,70-74,Female,Black or African American,2009.0,567.0,32976.0,1719.4
286,All Cancer Sites Combined,70-74,Female,Black or African American,2010.0,539.0,33768.0,1596.2
287,All Cancer Sites Combined,70-74,Female,Black or African American,2011.0,524.0,34729.0,1508.8
288,All Cancer Sites Combined,70-74,Male,Black or African American,1999.0,683.0,19942.0,3424.9
289,All Cancer Sites Combined,70-74,Male,Black or African American,2000.0,676.0,20292.0,3331.4
290,All Cancer Sites Combined,70-74,Male,Black or African American,2001.0,656.0,20785.0,3156.1
291,All Cancer Sites Combined,70-74,Male,Black or African American,2002.0,613.0,21362.0,2869.6
292,All Cancer Sites Combined,70-74,Male,Black or African American,2003.0,640.0,22146.0,2889.9
293,All Cancer Sites Combined,70-74,Male,Black or African American,2004.0,662.0,22928.0,2887.3
294,All Cancer Sites Combined,70-74,Male,Black or African American,2005.0,691.0,23905.0,2890.6
295,All Cancer Sites Combined,70-74,Male,Black or African American,2006.0,686.0,24706.0,2776.7
296,All Cancer Sites Combined,70-74,Male,Black or African American,2007.0,704.0,25493.0,2761.5
297,All Cancer Sites Combined,70-74,Male,Black or African American,2008.0,744.0,26056.0,2855.4
298,All Cancer Sites Combined,70-74,Male,Black or African American,2009.0,696.0,26768.0,2600.1
299,All Cancer Sites Combined,70-74,Male,Black or African American,2010.0,674.0,27199.0,2478.0
300,All Cancer Sites Combined,70-74,Male,Black or African American,2011.0,692.0,27524.0,2514.2
301,All Cancer Sites Combined,75-79,Female,Black or African American,1999.0,437.0,22325.0,1957.4
302,All Cancer Sites Combined,75-79,Female,Black or African American,2000.0,402.0,22667.0,1773.5
303,All Cancer Sites Combined,75-79,Female,Black or African American,2001.0,422.0,23115.0,1825.7
304,All Cancer Sites Combined,75-79,Female,Black or African American,2002.0,417.0,23236.0,1794.6
305,All Cancer Sites Combined,75-79,Female,Black or African American,2003.0,405.0,23263.0,1741.0
306,All Cancer Sites Combined,75-79,Female,Black or African American,2004.0,418.0,23187.0,1802.7
