,Leading Cancer Sites,Leading Cancer Sites Code,Age Group Code,Sex,Race,Year,Count,Population,Rate
62,All Sites Combined,00,5-9,Female,Black or African American,2010.0,161.0,1619200.0,9.9
63,All Sites Combined,00,5-9,Female,Black or African American,2011.0,158.0,1612116.0,9.8
64,All Sites Combined,00,5-9,Male,Black or African American,1999.0,150.0,1530677.0,9.8
65,All Sites Combined,00,5-9,Male,Black or African American,2000.0,158.0,1574949.0,10.0
66,All Sites Combined,00,5-9,Male,Black or African American,2001.0,109.0,1482103.0,7.4
67,All Sites Combined,00,5-9,Male,Black or African American,2002.0,140.0,1498121.0,9.3
68,All Sites Combined,00,5-9,Male,Black or African American,2003.0,158.0,1604760.0,9.8
69,All Sites Combined,00,5-9,Male,Black or African American,2004.0,151.0,1623808.0,9.3
70,All Sites Combined,00,5-9,Male,Black or African American,2005.0,183.0,1608201.0,11.4
71,All Sites Combined,00,5-9,Male,Black or African American,2006.0,165.0,1624718.0,10.2
72,All Sites Combined,00,5-9,Male,Black or African American,2007.0,151.0,1634478.0,9.2
73,All Sites Combined,00,5-9,Male,Black or African American,2008.0,181.0,1641641.0,11.0
74,All Sites Combined,00,5-9,Male,Black or African American,2009.0,158.0,1658293.0,9.5
75,All Sites Combined,00,5-9,Male,Black or African American,2010.0,198.0,1674950.0,11.8
76,All Sites Combined,00,5-9,Male,Black or African American,2011.0,191.0,1666064.0,11.5
77,All Sites Combined,00,10-14,Female,Black or African American,1999.0,147.0,1374272.0,10.7
78,All Sites Combined,00,10-14,Female,Black or African American,2000.0,144.0,1481960.0,9.7
79,All Sites Combined,00,10-14,Female,Black or African American,2001.0,155.0,1470719.0,10.5
80,All Sites Combined,00,10-14,Female,Black or African American,2002.0,178.0,1559925.0,11.4
81,All Sites Combined,00,10-14,Female,Black or African American,2003.0,197.0,1738297.0,11.3
82,All Sites Combined,00,10-14,Female,Black or African American,2004.0,195.0,1793885.0,10.9
83,All Sites Combined,00,10-14,Female,Black or African American,2005.0,183.0,1767927.0,10.4
84,All Sites Combined,00,10-14,Female,Black or African American,2006.0,196.0,1745291.0,11.2
85,All Sites Combined,00,10-14,Female,Black or African American,2007.0,173.0,1716222.0,10.1
86,All Sites Combined,00,10-14,Female,Black or African American,2008.0,198.0,1692101.0,11.7
87,All Sites Combined,00,10-14,Female,Black or African American,2009.0,194.0,1675398.0,11.6
88,All Sites Combined,00,10-14,Female,Black or African American,2010.0,181.0,1672365.0,10.8
89,All Sites Combined,00,10-14,Female,Black or African American,2011.0,173.0,1665923.0,10.4
90,All Sites Combined,00,10-14,Male,Black or African American,1999.0,127.0,1416118.0,9.0
91,All Sites Combined,00,10-14,Male,Black or African American,2000.0,160.0,1527393.0,10.5
92,All Sites Combined,00,10-14,Male,Black or African American,2001.0,160.0,1517448.0,10.5
93,All Sites Combined,00,10-14,Male,Black or African American,2002.0,152.0,1610210.0,9.4
94,All Sites Combined,00,10-14,Male,Black or African American,2003.0,211.0,1796238.0,11.7
95,All Sites Combined,00,10-14,Male,Black or African American,2004.0,221.0,1853308.0,11.9
96,All Sites Combined,00,10-14,Male,Black or African American,2005.0,211.0,1828054.0,11.5
97,All Sites Combined,00,10-14,Male,Black or African American,2006.0,198.0,1804779.0,11.0
98,All Sites Combined,00,10-14,Male,Black or African American,2007.0,201.0,1777494.0,11.3
99,All Sites Combined,00,10-14,Male,Black or African American,2008.0,201.0,1752126.0,11.5
100,All Sites Combined,00,10-14,Male,Black or African American,2009.0,210.0,1736232.0,12.1
101,All Sites Combined,00,10-14,Male,Black or African American,2010.0,211.0,1731923.0,12.2
102,All Sites Combined,00,10-14,Male,Black or African American,2011.0,203.0,1726577.0,11.8
103,All Sites Combined,00,15-19,Female,Black or African American,1999.0,188.0,1299014.0,14.5
104,All Sites Combined,00,15-19,Female,Black or African American,2000.0,177.0,1369545.0,12.9
105,All Sites Combined,00,15-19,Female,Black or African American,2001.0,181.0,1332603.0,13.6
106,All Sites Combined,00,15-19,Female,Black or African American,2002.0,175.0,1394815.0,12.5
107,All Sites Combined,00,15-19,Female,Black or African American,2003.0,242.0,1573041.0,15.4
108,All Sites Combined,00,15-19,Female,Black or African American,2004.0,240.0,1665568.0,14.4
109,All Sites Combined,00,15-19,Female,Black or African American,2005.0,265.0,1725130.0,15.4
110,All Sites Combined,00,15-19,Female,Black or African American,2006.0,260.0,1783598.0,14.6
111,All Sites Combined,00,15-19,Female,Black or African American,2007.0,283.0,1829855.0,15.5
112,All Sites Combined,00,15-19,Female,Black or African American,2008.0,271.0,1862208.0,14.6
113,All Sites Combined,00,15-19,Female,Black or African American,2009.0,269.0,1872421.0,14.4
114,All Sites Combined,00,15-19,Female,Black or African American,2010.0,268.0,1849051.0,14.5
115,All Sites Combined,00,15-19,Female,Black or African American,2011.0,248.0,1790252.0,13.9
116,All Sites Combined,00,15-19,Male,Black or African American,1999.0,239.0,1332771.0,17.9
117,All Sites Combined,00,15-19,Male,Black or African American,2000.0,200.0,1406209.0,14.2
118,All Sites Combined,00,15-19,Male,Black or African American,2001.0,209.0,1382445.0,15.1
119,All Sites Combined,00,15-19,Male,Black or African American,2002.0,209.0,1448553.0,14.4
120,All Sites Combined,00,15-19,Male,Black or African American,2003.0,235.0,1623741.0,14.5
121,All Sites Combined,00,15-19,Male,Black or African American,2004.0,258.0,1716424.0,15.0
122,All Sites Combined,00,15-19,Male,Black or African American,2005.0,249.0,1777242.0,14.0
123,All Sites Combined,00,15-19,Male,Black or African American,2006.0,279.0,1838852.0,15.2
124,All Sites Combined,00,15-19,Male,Black or African American,2007.0,294.0,1886818.0,15.6
125,All Sites Combined,00,15-19,Male,Black or African American,2008.0,321.0,1923433.0,16.7
126,All Sites Combined,00,15-19,Male,Black or African American,2009.0,286.0,1933253.0,14.8
127,All Sites Combined,00,15-19,Male,Black or African American,2010.0,304.0,1913132.0,15.9
128,All Sites Combined,00,15-19,Male,Black or African American,2011.0,259.0,1858120.0,13.9
129,All Sites Combined,00,20-24,Female,Black or African American,1999.0,306.0,1189654.0,25.7
130,All Sites Combined,00,20-24,Female,Black or African American,2000.0,313.0,1285772.0,24.3
131,All Sites Combined,00,20-24,Female,Black or African American,2001.0,306.0,1281035.0,23.9
132,All Sites Combined,00,20-24,Female,Black or African American,2002.0,327.0,1352261.0,24.2
133,All Sites Combined,00,20-24,Female,Black or African American,2003.0,376.0,1516431.0,24.8
134,All Sites Combined,00,20-24,Female,Black or African American,2004.0,392.0,1571506.0,24.9
135,All Sites Combined,00,20-24,Female,Black or African American,2005.0,391.0,1568841.0,24.9
136,All Sites Combined,00,20-24,Female,Black or African American,2006.0,426.0,1581684.0,26.9
137,All Sites Combined,00,20-24,Female,Black or African American,2007.0,421.0,1597753.0,26.3
138,All Sites Combined,00,20-24,Female,Black or African American,2008.0,390.0,1626821.0,24.0
139,All Sites Combined,00,20-24,Female,Black or African American,2009.0,467.0,1669196.0,28.0
140,All Sites Combined,00,20-24,Female,Black or African American,2010.0,421.0,1728966.0,24.3
141,All Sites Combined,00,20-24,Female,Black or African American,2011.0,452.0,1790319.0,25.2
142,All Sites Combined,00,20-24,Male,Black or African American,1999.0,217.0,1133006.0,19.2
143,All Sites Combined,00,20-24,Male,Black or African American,2000.0,220.0,1223496.0,18.0
144,All Sites Combined,00,20-24,Male,Black or African American,2001.0,228.0,1229756.0,18.5
145,All Sites Combined,00,20-24,Male,Black or African American,2002.0,242.0,1307664.0,18.5
146,All Sites Combined,00,20-24,Male,Black or African American,2003.0,276.0,1473943.0,18.7
147,All Sites Combined,00,20-24,Male,Black or African American,2004.0,302.0,1546418.0,19.5
148,All Sites Combined,00,20-24,Male,Black or African American,2005.0,309.0,1557130.0,19.8
149,All Sites Combined,00,20-24,Male,Black or African American,2006.0,312.0,1578664.0,19.8
150,All Sites Combined,00,20-24,Male,Black or African American,2007.0,327.0,1589101.0,20.6
151,All Sites Combined,00,20-24,Male,Black or African American,2008.0,348.0,1606611.0,21.7
152,All Sites Combined,00,20-24,Male,Black or African American,2009.0,353.0,1638692.0,21.5
153,All Sites Combined,00,20-24,Male,Black or African American,2010.0,367.0,1694937.0,21.7
154,All Sites Combined,00,20-24,Male,Black or African American,2011.0,387.0,1773866.0,21.8
155,All Sites Combined,00,25-29,Female,Black or African American,1999.0,549.0,1228776.0,44.7
156,All Sites Combined,00,25-29,Female,Black or African American,2000.0,625.0,1265033.0,49.4
157,All Sites Combined,00,25-29,Female,Black or African American,2001.0,590.0,1183715.0,49.8
158,All Sites Combined,00,25-29,Female,Black or African American,2002.0,610.0,1220110.0,50.0
159,All Sites Combined,00,25-29,Female,Black or African American,2003.0,705.0,1343024.0,52.5
160,All Sites Combined,00,25-29,Female,Black or African American,2004.0,696.0,1415617.0,49.2
161,All Sites Combined,00,25-29,Female,Black or African American,2005.0,782.0,1455735.0,53.7
162,All Sites Combined,00,25-29,Female,Black or African American,2006.0,722.0,1508823.0,47.9
163,All Sites Combined,00,25-29,Female,Black or African American,2007.0,782.0,1542044.0,50.7
164,All Sites Combined,00,25-29,Female,Black or African American,2008.0,771.0,1566372.0,49.2
165,All Sites Combined,00,25-29,Female,Black or African American,2009.0,801.0,1574460.0,50.9
166,All Sites Combined,00,25-29,Female,Black or African American,2010.0,852.0,1573735.0,54.1
167,All Sites Combined,00,25-29,Female,Black or African American,2011.0,806.0,1576638.0,51.1
168,All Sites Combined,00,25-29,Male,Black or African American,1999.0,327.0,1115085.0,29.3
169,All Sites Combined,00,25-29,Male,Black or African American,2000.0,381.0,1145770.0,33.3
170,All Sites Combined,00,25-29,Male,Black or African American,2001.0,384.0,1072924.0,35.8
171,All Sites Combined,00,25-29,Male,Black or African American,2002.0,370.0,1099291.0,33.7
172,All Sites Combined,00,25-29,Male,Black or African American,2003.0,383.0,1202500.0,31.9
173,All Sites Combined,00,25-29,Male,Black or African American,2004.0,412.0,1268919.0,32.5
174,All Sites Combined,00,25-29,Male,Black or African American,2005.0,420.0,1307691.0,32.1
175,All Sites Combined,00,25-29,Male,Black or African American,2006.0,463.0,1358655.0,34.1
176,All Sites Combined,00,25-29,Male,Black or African American,2007.0,501.0,1397943.0,35.8
177,All Sites Combined,00,25-29,Male,Black or African American,2008.0,468.0,1433561.0,32.6
178,All Sites Combined,00,25-29,Male,Black or African American,2009.0,488.0,1452008.0,33.6
179,All Sites Combined,00,25-29,Male,Black or African American,2010.0,483.0,1460554.0,33.1
180,All Sites Combined,00,25-29,Male,Black or African American,2011.0,481.0,1475767.0,32.6
181,All Sites Combined,00,30-34,Female,Black or African American,1999.0,1176.0,1260548.0,93.3
182,All Sites Combined,00,30-34,Female,Black or African American,2000.0,1131.0,1301187.0,86.9
183,All Sites Combined,00,30-34,Female,Black or African American,2001.0,1103.0,1245184.0,88.6
184,All Sites Combined,00,30-34,Female,Black or African American,2002.0,1224.0,1308433.0,93.5
185,All Sites Combined,00,30-34,Female,Black or African American,2003.0,1290.0,1429719.0,90.2
186,All Sites Combined,00,30-34,Female,Black or African American,2004.0,1459.0,1460706.0,99.9
187,All Sites Combined,00,30-34,Female,Black or African American,2005.0,1377.0,1434647.0,96.0
188,All Sites Combined,00,30-34,Female,Black or African American,2006.0,1321.0,1411565.0,93.6
189,All Sites Combined,00,30-34,Female,Black or African American,2007.0,1317.0,1408863.0,93.5
190,All Sites Combined,00,30-34,Female,Black or African American,2008.0,1336.0,1420164.0,94.1
191,All Sites Combined,00,30-34,Female,Black or African American,2009.0,1401.0,1458464.0,96.1
192,All Sites Combined,00,30-34,Female,Black or African American,2010.0,1490.0,1504261.0,99.1
193,All Sites Combined,00,30-34,Female,Black or African American,2011.0,1458.0,1530683.0,95.3
194,All Sites Combined,00,30-34,Male,Black or African American,1999.0,578.0,1137263.0,50.8
195,All Sites Combined,00,30-34,Male,Black or African American,2000.0,626.0,1173319.0,53.4
196,All Sites Combined,00,30-34,Male,Black or African American,2001.0,532.0,1121181.0,47.4
197,All Sites Combined,00,30-34,Male,Black or African American,2002.0,617.0,1172453.0,52.6
198,All Sites Combined,00,30-34,Male,Black or African American,2003.0,606.0,1271739.0,47.7
199,All Sites Combined,00,30-34,Male,Black or African American,2004.0,652.0,1296310.0,50.3
200,All Sites Combined,00,30-34,Male,Black or African American,2005.0,638.0,1270190.0,50.2
201,All Sites Combined,00,30-34,Male,Black or African American,2006.0,643.0,1252301.0,51.3
202,All Sites Combined,00,30-34,Male,Black or African American,2007.0,605.0,1250808.0,48.4
203,All Sites Combined,00,30-34,Male,Black or African American,2008.0,656.0,1266108.0,51.8
204,All Sites Combined,00,30-34,Male,Black or African American,2009.0,676.0,1306441.0,51.7
205,All Sites Combined,00,30-34,Male,Black or African American,2010.0,650.0,1356641.0,47.9
206,All Sites Combined,00,30-34,Male,Black or African American,2011.0,675.0,1383650.0,48.8
207,All Sites Combined,00,35-39,Female,Black or African American,1999.0,2080.0,1346469.0,154.5
208,All Sites Combined,00,35-39,Female,Black or African American,2000.0,2248.0,1399495.0,160.6
209,All Sites Combined,00,35-39,Female,Black or African American,2001.0,2019.0,1319406.0,153.0
210,All Sites Combined,00,35-39,Female,Black or African American,2002.0,2105.0,1361240.0,154.6
211,All Sites Combined,00,35-39,Female,Black or African American,2003.0,2363.0,1470502.0,160.7
212,All Sites Combined,00,35-39,Female,Black or African American,2004.0,2389.0,1479799.0,161.4
213,All Sites Combined,00,35-39,Female,Black or African American,2005.0,2346.0,1469009.0,159.7
214,All Sites Combined,00,35-39,Female,Black or African American,2006.0,2326.0,1485026.0,156.6
215,All Sites Combined,00,35-39,Female,Black or African American,2007.0,2328.0,1497090.0,155.5
216,All Sites Combined,00,35-39,Female,Black or African American,2008.0,2414.0,1499322.0,161.0
217,All Sites Combined,00,35-39,Female,Black or African American,2009.0,2470.0,1493256.0,165.4
218,All Sites Combined,00,35-39,Female,Black or African American,2010.0,2298.0,1472547.0,156.1
219,All Sites Combined,00,35-39,Female,Black or African American,2011.0,2257.0,1433154.0,157.5
220,All Sites Combined,00,35-39,Male,Black or African American,1999.0,970.0,1199831.0,80.8
221,All Sites Combined,00,35-39,Male,Black or African American,2000.0,1078.0,1244810.0,86.6
222,All Sites Combined,00,35-39,Male,Black or African American,2001.0,1056.0,1179213.0,89.6
223,All Sites Combined,00,35-39,Male,Black or African American,2002.0,1036.0,1211029.0,85.5
224,All Sites Combined,00,35-39,Male,Black or African American,2003.0,1078.0,1303313.0,82.7
225,All Sites Combined,00,35-39,Male,Black or African American,2004.0,1066.0,1313871.0,81.1
226,All Sites Combined,00,35-39,Male,Black or African American,2005.0,1069.0,1304920.0,81.9
227,All Sites Combined,00,35-39,Male,Black or African American,2006.0,1115.0,1316137.0,84.7
228,All Sites Combined,00,35-39,Male,Black or African American,2007.0,1091.0,1328450.0,82.1
229,All Sites Combined,00,35-39,Male,Black or African American,2008.0,1113.0,1331056.0,83.6
230,All Sites Combined,00,35-39,Male,Black or African American,2009.0,1045.0,1324479.0,78.9
231,All Sites Combined,00,35-39,Male,Black or African American,2010.0,983.0,1305322.0,75.3
232,All Sites Combined,00,35-39,Male,Black or African American,2011.0,998.0,1271897.0,78.5
233,All Sites Combined,00,40-44,Female,Black or African American,1999.0,3353.0,1255835.0,267.0
234,All Sites Combined,00,40-44,Female,Black or African American,2000.0,3493.0,1338013.0,261.1
235,All Sites Combined,00,40-44,Female,Black or African American,2001.0,3361.0,1295670.0,259.4
236,All Sites Combined,00,40-44,Female,Black or African American,2002.0,3588.0,1365303.0,262.8
237,All Sites Combined,00,40-44,Female,Black or African American,2003.0,4039.0,1517296.0,266.2
238,All Sites Combined,00,40-44,Female,Black or African American,2004.0,4185.0,1572854.0,266.1
239,All Sites Combined,00,40-44,Female,Black or African American,2005.0,4046.0,1568003.0,258.0
240,All Sites Combined,00,40-44,Female,Black or African American,2006.0,4269.0,1563778.0,273.0
241,All Sites Combined,00,40-44,Female,Black or African American,2007.0,4229.0,1543918.0,273.9
242,All Sites Combined,00,40-44,Female,Black or African American,2008.0,4110.0,1521526.0,270.1
243,All Sites Combined,00,40-44,Female,Black or African American,2009.0,4123.0,1492077.0,276.3
244,All Sites Combined,00,40-44,Female,Black or African American,2010.0,3949.0,1484927.0,265.9
245,All Sites Combined,00,40-44,Female,Black or African American,2011.0,4031.0,1486998.0,271.1
246,All Sites Combined,00,40-44,Male,Black or African American,1999.0,1855.0,1108840.0,167.3
247,All Sites Combined,00,40-44,Male,Black or African American,2000.0,2065.0,1186753.0,174.0
248,All Sites Combined,00,40-44,Male,Black or African American,2001.0,2014.0,1152245.0,174.8
249,All Sites Combined,00,40-44,Male,Black or African American,2002.0,2067.0,1212272.0,170.5
250,All Sites Combined,00,40-44,Male,Black or African American,2003.0,2275.0,1340692.0,169.7
251,All Sites Combined,00,40-44,Male,Black or African American,2004.0,2293.0,1388885.0,165.1
252,All Sites Combined,00,40-44,Male,Black or African American,2005.0,2340.0,1385821.0,168.9
253,All Sites Combined,00,40-44,Male,Black or African American,2006.0,2299.0,1387611.0,165.7
254,All Sites Combined,00,40-44,Male,Black or African American,2007.0,2243.0,1371378.0,163.6
255,All Sites Combined,00,40-44,Male,Black or African American,2008.0,2217.0,1355115.0,163.6
256,All Sites Combined,00,40-44,Male,Black or African American,2009.0,2149.0,1333435.0,161.2
257,All Sites Combined,00,40-44,Male,Black or African American,2010.0,2044.0,1329820.0,153.7
258,All Sites Combined,00,40-44,Male,Black or African American,2011.0,2040.0,1324847.0,154.0
259,All Sites Combined,00,45-49,Female,Black or African American,1999.0,4173.0,1052666.0,396.4
260,All Sites Combined,00,45-49,Female,Black or African American,2000.0,4551.0,1136839.0,400.3
261,All Sites Combined,00,45-49,Female,Black or African American,2001.0,4407.0,1112056.0,396.3
262,All Sites Combined,00,45-49,Female,Black or African American,2002.0,4968.0,1204386.0,412.5
263,All Sites Combined,00,45-49,Female,Black or African American,2003.0,5693.0,1373900.0,414.4
264,All Sites Combined,00,45-49,Female,Black or African American,2004.0,5991.0,1450410.0,413.1
265,All Sites Combined,00,45-49,Female,Black or African American,2005.0,6033.0,1487844.0,405.5
266,All Sites Combined,00,45-49,Female,Black or African American,2006.0,6147.0,1520017.0,404.4
267,All Sites Combined,00,45-49,Female,Black or African American,2007.0,6374.0,1535320.0,415.2
268,All Sites Combined,00,45-49,Female,Black or African American,2008.0,6336.0,1551511.0,408.4
269,All Sites Combined,00,45-49,Female,Black or African American,2009.0,6506.0,1566586.0,415.3
270,All Sites Combined,00,45-49,Female,Black or African American,2010.0,6430.0,1564692.0,410.9
271,All Sites Combined,00,45-49,Female,Black or African American,2011.0,6320.0,1542828.0,409.6
272,All Sites Combined,00,45-49,Male,Black or African American,1999.0,3377.0,906658.0,372.5
273,All Sites Combined,00,45-49,Male,Black or African American,2000.0,3631.0,984860.0,368.7
274,All Sites Combined,00,45-49,Male,Black or African American,2001.0,3675.0,972054.0,378.1
275,All Sites Combined,00,45-49,Male,Black or African American,2002.0,3952.0,1053658.0,375.1
276,All Sites Combined,00,45-49,Male,Black or African American,2003.0,4370.0,1207562.0,361.9
277,All Sites Combined,00,45-49,Male,Black or African American,2004.0,4642.0,1277621.0,363.3
278,All Sites Combined,00,45-49,Male,Black or African American,2005.0,4640.0,1314179.0,353.1
279,All Sites Combined,00,45-49,Male,Black or African American,2006.0,4634.0,1345420.0,344.4
280,All Sites Combined,00,45-49,Male,Black or African American,2007.0,4775.0,1362438.0,350.5
281,All Sites Combined,00,45-49,Male,Black or African American,2008.0,4745.0,1377024.0,344.6
282,All Sites Combined,00,45-49,Male,Black or African American,2009.0,4926.0,1392439.0,353.8
283,All Sites Combined,00,45-49,Male,Black or African American,2010.0,4715.0,1393652.0,338.3
284,All Sites Combined,00,45-49,Male,Black or African American,2011.0,4363.0,1373346.0,317.7
285,All Sites Combined,00,50-54,Female,Black or African American,1999.0,4708.0,827304.0,569.1
286,All Sites Combined,00,50-54,Female,Black or African American,2000.0,5186.0,920889.0,563.2
287,All Sites Combined,00,50-54,Female,Black or African American,2001.0,5341.0,930439.0,574.0
288,All Sites Combined,00,50-54,Female,Black or African American,2002.0,5942.0,1009684.0,588.5
289,All Sites Combined,00,50-54,Female,Black or African American,2003.0,6582.0,1150049.0,572.3
290,All Sites Combined,00,50-54,Female,Black or African American,2004.0,6974.0,1225243.0,569.2
291,All Sites Combined,00,50-54,Female,Black or African American,2005.0,7202.0,1263881.0,569.8
292,All Sites Combined,00,50-54,Female,Black or African American,2006.0,7517.0,1310132.0,573.8
293,All Sites Combined,00,50-54,Female,Black or African American,2007.0,8034.0,1364926.0,588.6
294,All Sites Combined,00,50-54,Female,Black or African American,2008.0,8316.0,1414223.0,588.0
295,All Sites Combined,00,50-54,Female,Black or African American,2009.0,8668.0,1455726.0,595.4
296,All Sites Combined,00,50-54,Female,Black or African American,2010.0,8764.0,1496837.0,585.5
297,All Sites Combined,00,50-54,Female,Black or African American,2011.0,8888.0,1509738.0,588.7
298,All Sites Combined,00,50-54,Male,Black or African American,1999.0,5307.0,698385.0,759.9
299,All Sites Combined,00,50-54,Male,Black or African American,2000.0,6064.0,783856.0,773.6
300,All Sites Combined,00,50-54,Male,Black or African American,2001.0,5948.0,798918.0,744.5
301,All Sites Combined,00,50-54,Male,Black or African American,2002.0,6515.0,862617.0,755.3
302,All Sites Combined,00,50-54,Male,Black or African American,2003.0,7613.0,986026.0,772.1
303,All Sites Combined,00,50-54,Male,Black or African American,2004.0,7944.0,1053416.0,754.1
304,All Sites Combined,00,50-54,Male,Black or African American,2005.0,7961.0,1090846.0,729.8
305,All Sites Combined,00,50-54,Male,Black or African American,2006.0,8294.0,1135007.0,730.7
306,All Sites Combined,00,50-54,Male,Black or African American,2007.0,8870.0,1189011.0,746.0
307,All Sites Combined,00,50-54,Male,Black or African American,2008.0,9183.0,1238784.0,741.3
308,All Sites Combined,00,50-54,Male,Black or African American,2009.0,9620.0,1279770.0,751.7
309,All Sites Combined,00,50-54,Male,Black or African American,2010.0,9139.0,1319005.0,692.9
310,All Sites Combined,00,50-54,Male,Black or African American,2011.0,9110.0,1329551.0,685.2
311,All Sites Combined,00,55-59,Female,Black or African American,1999.0,4849.0,624816.0,776.1
312,All Sites Combined,00,55-59,Female,Black or African American,2000.0,5197.0,672451.0,772.8
313,All Sites Combined,00,55-59,Female,Black or African American,2001.0,5123.0,655857.0,781.1
314,All Sites Combined,00,55-59,Female,Black or African American,2002.0,5787.0,731500.0,791.1
