"Year","Month","DriversKilled","drivers","front-seat passengers","rear-seat passengers","kms","PetrolPrice","VanKilled","law","date","total"
1976,6,112,1309,644,322,15589,0.107884938936114,8,0,"197606",2275
1976,7,112,1526,828,458,16543,0.109084769191454,9,0,"197607",2812
1976,8,113,1327,748,427,17925,0.107571450111271,10,0,"197608",2502
1976,9,108,1627,767,346,15406,0.106164022368002,10,0,"197609",2740
1976,10,128,1748,825,421,14601,0.106299999323319,5,0,"197610",2994
1976,11,154,1958,810,344,13107,0.104825313000088,13,0,"197611",3112
1976,12,162,2274,986,370,12268,0.103451745711815,12,0,"197612",3630
1977,1,112,1648,714,291,11972,0.101449920129493,10,0,"197701",2653
1977,2,79,1401,567,224,12028,0.100402316427863,9,0,"197702",2192
1977,3,82,1411,616,266,14033,0.098862033680192,7,0,"197703",2293
1977,4,127,1403,678,338,14244,0.102496154313521,5,0,"197704",2419
1977,5,108,1394,742,298,15287,0.103027431599736,10,0,"197705",2434
1977,6,110,1520,840,386,16954,0.102178908220655,5,0,"197706",2746
1977,7,123,1528,888,479,17361,0.0998366428726473,6,0,"197707",2895
1977,8,103,1643,852,473,17694,0.0926366895833353,8,0,"197708",2968
1977,9,97,1515,774,332,16222,0.0918149629077569,6,0,"197709",2621
1977,10,140,1685,831,391,14969,0.090724303768407,12,0,"197710",2907
1977,11,165,2000,889,370,13624,0.0900212072768793,15,0,"197711",3259
1977,12,183,2215,1046,431,13842,0.0893307058230937,7,0,"197712",3692
1978,1,148,1956,889,366,12387,0.0884427348717763,14,0,"197801",3211
1978,2,111,1462,626,250,11608,0.0883525692744791,4,0,"197802",2338
1978,3,116,1563,808,355,15021,0.0867573619308237,10,0,"197803",2726
1978,4,115,1459,746,304,14834,0.0849952420449752,8,0,"197804",2509
1978,5,100,1446,754,379,16565,0.0845679437213488,7,0,"197805",2579
1978,6,106,1622,865,440,16882,0.0844318988774436,11,0,"197806",2927
1978,7,134,1657,980,500,18012,0.0843508831482932,3,0,"197807",3137
1978,8,125,1638,959,511,18855,0.0836009830491076,5,0,"197808",3108
1978,9,117,1643,856,384,17243,0.0834172630524962,11,0,"197809",2883
1978,10,122,1683,798,366,16045,0.0827451397987249,10,0,"197810",2847
1978,11,153,2050,942,432,14745,0.0852352669035281,10,0,"197811",3424
1978,12,178,2262,1010,390,13726,0.0847703028296526,7,0,"197812",3662
1979,1,114,1813,796,306,11196,0.0844589214084587,10,0,"197901",2915
1979,2,94,1445,643,232,12105,0.085352119244763,11,0,"197902",2320
1979,3,128,1762,794,342,14723,0.0875592125175749,9,0,"197903",2898
1979,4,119,1461,750,329,15582,0.0903829170614837,7,0,"197904",2540
1979,5,111,1556,809,394,16863,0.0907832937355188,8,0,"197905",2759
1979,6,110,1431,716,355,16758,0.108742780219868,13,0,"197906",2502
1979,7,114,1427,851,385,17434,0.114142227335262,8,0,"197907",2663
1979,8,118,1554,931,463,18359,0.112992933231466,5,0,"197908",2948
1979,9,115,1645,834,453,17189,0.111320706029796,8,0,"197909",2932
1979,10,132,1653,762,373,16909,0.109126229280665,7,0,"197910",2788
1979,11,153,2016,880,401,15380,0.107698459343112,12,0,"197911",3297
1979,12,171,2207,1077,466,15161,0.107601574334496,10,0,"197912",3750
1980,1,115,1665,748,306,14027,0.103775019202843,7,0,"198001",2719
1980,2,95,1361,593,263,14478,0.107114170431059,4,0,"198002",2217
1980,3,92,1506,720,323,16155,0.107374774370757,10,0,"198003",2549
1980,4,100,1360,646,310,16585,0.111695372689559,4,0,"198004",2316
1980,5,95,1453,765,424,18117,0.110638184592354,8,0,"198005",2642
1980,6,114,1522,820,403,17552,0.111855211329895,8,0,"198006",2745
1980,7,102,1460,807,406,18299,0.109742342683337,7,0,"198007",2673
1980,8,104,1552,885,466,19361,0.108193931510232,10,0,"198008",2903
1980,9,132,1548,803,381,17924,0.106255362697951,8,0,"198009",2732
1980,10,136,1827,860,369,17872,0.104193034427699,14,0,"198010",3056
1980,11,117,1737,825,378,16058,0.101933972880902,8,0,"198011",2940
1980,12,137,1941,911,392,15746,0.102793824574291,9,0,"198012",3244
1981,1,111,1474,704,284,15226,0.10476034144929,8,0,"198101",2462
1981,2,106,1458,691,316,14932,0.104002535534347,6,0,"198102",2465
1981,3,98,1542,688,321,16846,0.116655515402424,7,0,"198103",2551
1981,4,84,1404,714,358,16854,0.11516147558196,6,0,"198104",2476
1981,5,94,1522,814,378,18146,0.112989543494316,5,0,"198105",2714
1981,6,105,1385,736,382,17559,0.113860643932406,4,0,"198106",2503
1981,7,123,1641,876,433,18655,0.119118081064489,5,0,"198107",2950
1981,8,109,1510,829,506,19453,0.124489986005886,10,0,"198108",2845
1981,9,130,1681,818,428,17923,0.123222945411622,7,0,"198109",2927
1981,10,153,1938,942,479,17915,0.12067793212866,10,0,"198110",3359
1981,11,134,1868,782,370,16496,0.121048982651421,12,0,"198111",3020
1981,12,99,1726,823,349,13544,0.116968571491487,7,0,"198112",2898
1982,1,115,1456,595,238,13601,0.112750259392875,4,0,"198201",2289
1982,2,104,1445,673,285,15667,0.108079306704711,5,0,"198202",2403
1982,3,131,1456,660,324,17358,0.108838515984019,6,0,"198203",2440
1982,4,108,1365,676,346,18112,0.111291766408542,4,0,"198204",2387
1982,5,103,1487,755,410,18581,0.111304009176187,4,0,"198205",2652
1982,6,115,1558,815,411,18759,0.115454357532553,8,0,"198206",2784
1982,7,122,1488,867,496,20668,0.114768296055692,8,0,"198207",2851
1982,8,122,1684,933,534,21040,0.117207430931122,3,0,"198208",3151
1982,9,125,1594,798,396,18993,0.119076397031248,7,0,"198209",2788
1982,10,137,1850,950,470,18668,0.117965862171995,12,0,"198210",3270
1982,11,138,1998,825,385,16768,0.117449127100423,2,0,"198211",3208
1982,12,152,2079,911,411,16551,0.116988457838933,7,0,"198212",3401
1983,1,120,1494,619,281,16231,0.11261053571781,8,0,"198301",2394
1983,2,95,1057,426,300,15511,0.113657015681422,3,1,"198302",1783
1983,3,100,1218,475,318,18308,0.113144445252379,2,1,"198303",2011
1983,4,89,1168,556,391,17793,0.118495534815352,6,1,"198304",2115
1983,5,82,1236,559,398,19205,0.117969401200945,3,1,"198305",2193
1983,6,89,1076,483,337,19162,0.1176866141183,7,1,"198306",1896
1983,7,60,1174,587,477,20997,0.120059238961094,6,1,"198307",2238
1983,8,84,1139,615,422,20705,0.119437745680998,8,1,"198308",2176
1983,9,113,1427,618,495,18759,0.118881271786551,8,1,"198309",2540
1983,10,126,1487,662,471,19240,0.118462360710195,4,1,"198310",2620
1983,11,122,1483,519,368,17504,0.118016598400236,3,1,"198311",2370
1983,12,118,1513,585,345,16591,0.117706622543368,5,1,"198312",2443
1984,1,92,1357,483,296,16224,0.117776089941536,5,1,"198401",2136
1984,2,86,1165,434,319,16670,0.114796991716514,3,1,"198402",1918
1984,3,81,1282,513,349,18539,0.11573525277085,4,1,"198403",2144
1984,4,84,1110,548,375,19759,0.115356263024722,3,1,"198404",2033
1984,5,87,1297,586,441,19584,0.114815360704668,6,1,"198405",2324
1984,6,90,1185,522,465,19976,0.114777477886645,6,1,"198406",2172
1984,7,79,1222,601,472,21486,0.114935980147534,7,1,"198407",2295
1984,8,96,1284,644,521,21626,0.114796991716514,5,1,"198408",2449
1984,9,122,1444,643,429,20195,0.114093156728444,7,1,"198409",2516
1984,10,120,1575,641,408,19928,0.116465521799171,7,1,"198410",2624
1984,11,137,1737,711,490,18564,0.116026113132354,4,1,"198411",2938
1984,12,154,1763,721,491,18149,0.116066729379379,7,1,"198412",2975
