"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	24	163054	14.7
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	26	169728	15.3
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	21	176207	11.9
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	21	181783	11.6
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	17	186447	9.1
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	28	190253	14.7
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	18	190831	9.4
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	23	186230	12.4
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	16	129642	12.3
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	21	149313	14.1
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	27	157933	17.1
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	19	167183	11.4
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	22	181594	12.1
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	24	187817	12.8
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	16	193480	8.3
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	25	201012	12.4
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	30	201103	14.9
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	25	195483	12.8
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	24	102505	23.4
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	31	111797	27.7
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	37	119061	31.1
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	24	126160	19.0
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	21	136130	15.4
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	28	143543	19.5
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	28	149006	18.8
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	36	154010	23.4
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	27	159028	17.0
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	31	163664	18.9
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	39	168633	23.1
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	33	174119	19.0
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	37	177487	20.8
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	22	110642	19.9
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	33	121241	27.2
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	22	129710	17.0
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	24	138604	17.3
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	22	149727	14.7
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	24	158238	15.2
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	28	164978	17.0
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	30	171339	17.5
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	21	176506	11.9
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	26	181162	14.4
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	37	185895	19.9
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	40	191130	20.9
	"All Sites Combined"	"00"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	23	194153	11.8
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	43	99750	43.1
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	41	104246	39.3
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	45	106540	42.2
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	29	110836	26.2
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	49	117143	41.8
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	51	122991	41.5
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	52	129565	40.1
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	62	137109	45.2
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	60	144104	41.6
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	57	152054	37.5
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	76	159347	47.7
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	62	164256	37.7
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	60	163329	36.7
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	18	105631	17.0
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	21	110501	19.0
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	31	112879	27.5
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	31	117816	26.3
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	27	124562	21.7
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	38	131629	28.9
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	35	138615	25.2
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	46	146709	31.4
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	36	154578	23.3
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	53	163687	32.4
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	50	171260	29.2
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	38	176519	21.5
	"All Sites Combined"	"00"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	42	177043	23.7
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	79	99322	79.5
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	72	105267	68.4
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	66	109754	60.1
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	64	114702	55.8
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	64	120950	52.9
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	85	125028	68.0
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	74	127723	57.9
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	86	130478	65.9
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	97	134783	72.0
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	86	139872	61.5
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	98	145863	67.2
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	97	152166	63.7
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	99	153926	64.3
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	39	101125	38.6
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	35	108050	32.4
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	29	111746	26.0
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	45	116078	38.8
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	49	122054	40.1
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	43	125824	34.2
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	57	128574	44.3
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	45	132327	34.0
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	46	138186	33.3
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	60	144576	41.5
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	52	152833	34.0
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	71	161187	44.0
	"All Sites Combined"	"00"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	66	162795	40.5
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	104	109826	94.7
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	113	115675	97.7
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	137	117490	116.6
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	128	119955	106.7
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	122	123758	98.6
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	121	125167	96.7
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	138	127520	108.2
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	139	131316	105.9
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	145	135075	107.3
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	147	138700	106.0
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	143	141951	100.7
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	153	143503	106.6
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	133	140924	94.4
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	51	107266	47.5
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	61	113533	53.7
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	76	115697	65.7
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	51	117388	43.4
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	84	120441	69.7
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	58	122745	47.3
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	59	125469	47.0
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	68	130234	52.2
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	89	135153	65.9
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	64	140552	45.5
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	71	145198	48.9
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	76	148527	51.2
	"All Sites Combined"	"00"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	54	146682	36.8
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	151	101794	148.3
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	158	110369	143.2
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	200	115562	173.1
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	185	120083	154.1
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	229	126220	181.4
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	208	130824	159.0
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	232	132927	174.5
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	211	134492	156.9
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	223	135712	164.3
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	236	136672	172.7
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	209	136906	152.7
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	225	138821	162.1
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	222	138766	160.0
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	80	96175	83.2
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	92	104872	87.7
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	78	109745	71.1
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	105	114705	91.5
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	104	121095	85.9
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	122	126478	96.5
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	113	129454	87.3
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	121	132238	91.5
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	101	133948	75.4
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	102	136031	75.0
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	124	138554	89.5
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	100	141798	70.5
	"All Sites Combined"	"00"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	116	141926	81.7
	"All Sites Combined"	"00"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	177	84300	210.0
	"All Sites Combined"	"00"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	232	92789	250.0
	"All Sites Combined"	"00"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	234	98370	237.9
	"All Sites Combined"	"00"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	219	104714	209.1
	"All Sites Combined"	"00"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	270	112367	240.3
	"All Sites Combined"	"00"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	282	118136	238.7
	"All Sites Combined"	"00"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	318	123823	256.8
	"All Sites Combined"	"00"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	319	128628	248.0
	"All Sites Combined"	"00"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	335	132662	252.5
