"Cancer Sites"	"Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	23	134501	17.1
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	28	137382	20.4
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	34	139381	24.4
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	26	140751	18.5
	"All Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	17	145066	11.7
	"All Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	16	147008	10.9
	"All Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	17	154648	11.0
	"All Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	17	165680	10.3
	"All Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	20	150929	13.3
	"All Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	16	151657	10.6
	"All Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	17	151851	11.2
	"All Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	18	161723	11.1
	"All Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	21	173208	12.1
	"All Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	20	174804	11.4
	"All Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	22	148915	14.8
	"All Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	16	153807	10.4
	"All Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	16	157606	10.2
	"All Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	17	164592	10.3
	"All Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	18	158902	11.3
	"All Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	21	164168	12.8
	"All Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	17	172478	9.9
	"All Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	19	173616	10.9
	"All Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	23	173688	13.2
	"All Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	16	175774	9.1
	"All Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	16	176851	9.0
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	21	149494	14.0
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	22	153511	14.3
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	21	152586	13.8
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	24	153481	15.6
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	17	156570	10.9
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	30	160885	18.6
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	27	165328	16.3
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	25	170560	14.7
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	29	175736	16.5
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	30	180194	16.6
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	31	182640	17.0
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	20	184712	10.8
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	25	179257	13.9
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	19	157068	12.1
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	17	160963	10.6
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	30	161249	18.6
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	25	162448	15.4
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	28	166084	16.9
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	27	170763	15.8
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	36	175825	20.5
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	21	180476	11.6
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	31	186222	16.6
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	45	190143	23.7
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	27	192847	14.0
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	26	194021	13.4
	"All Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	36	188638	19.1
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	26	151211	17.2
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	30	158699	18.9
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	33	170750	19.3
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	46	179751	25.6
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	37	184548	20.0
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	46	185537	24.8
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	58	185901	31.2
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	40	185063	21.6
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	33	186290	17.7
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	54	190775	28.3
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	54	196281	27.5
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	49	201370	24.3
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	44	209685	21.0
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	28	150852	18.6
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	30	157178	19.1
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	22	169592	13.0
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	28	177666	15.8
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	33	182396	18.1
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	27	186255	14.5
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	35	188008	18.6
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	35	188689	18.5
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	38	190993	19.9
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	45	195734	23.0
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	34	201425	16.9
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	38	207199	18.3
	"All Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	37	215091	17.2
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	65	183653	35.4
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	68	182341	37.3
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	70	188574	37.1
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	76	192316	39.5
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	80	197351	40.5
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	61	203922	29.9
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	72	211085	34.1
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	84	219396	38.3
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	84	224027	37.5
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	96	224868	42.7
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	96	223056	43.0
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	80	221500	36.1
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	108	224342	48.1
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	39	168250	23.2
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	35	173928	20.1
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	43	181149	23.7
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	51	183412	27.8
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	43	185583	23.2
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	40	189493	21.1
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	49	196025	25.0
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	44	202733	21.7
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	43	206643	20.8
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	61	208554	29.2
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	62	208838	29.7
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	51	207673	24.6
	"All Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	38	214274	17.7
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	129	180064	71.6
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	112	184417	60.7
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	136	193583	70.3
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	160	201825	79.3
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	173	206543	83.8
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	167	209271	79.8
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	158	211063	74.9
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	170	212639	79.9
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	181	213586	84.7
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	168	216634	77.6
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	146	220912	66.1
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	171	225223	75.9
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	188	230943	81.4
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	62	165433	37.5
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	75	171036	43.9
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	67	178693	37.5
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	74	185842	39.8
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	78	190250	41.0
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	83	192502	43.1
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	72	192767	37.4
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	63	193705	32.5
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	71	193358	36.7
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	79	194271	40.7
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	87	195571	44.5
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	86	199111	43.2
	"All Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	82	203965	40.2
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	217	183529	118.2
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	209	186353	112.2
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	251	190704	131.6
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	254	194473	130.6
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	257	198238	129.6
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	280	202622	138.2
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	298	209819	142.0
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	296	217971	135.8
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	266	226218	117.6
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	346	232389	148.9
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	332	236630	140.3
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	308	239322	128.7
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	353	238956	147.7
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	89	168175	52.9
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	99	170728	58.0
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	104	175177	59.4
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	113	176861	63.9
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	110	178183	61.7
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	104	180980	57.5
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	101	185921	54.3
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	108	191776	56.3
	"All Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	131	198759	65.9
