"Cancer Sites"	"Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	21	24441	85.9
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	22	16757	131.3
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	21	18747	112.0
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	18	19715	91.3
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	19	20706	91.8
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	24	22766	105.4
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	17	24080	70.6
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	26	25128	103.5
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	24	11695	205.2
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	26	12592	206.5
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	24	13563	177.0
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	31	14006	221.3
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	29	14771	196.3
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	27	15458	174.7
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	23	16407	140.2
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	30	17505	171.4
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	30	18713	160.3
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	30	19983	150.1
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	40	21180	188.9
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	41	22222	184.5
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	41	22744	180.3
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	16	10891	146.9
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	23	12643	181.9
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	25	13107	190.7
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	22	13869	158.6
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	29	14765	196.4
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	26	15738	165.2
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	24	16733	143.4
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	29	17993	161.2
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	34	19290	176.3
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	32	20537	155.8
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	25	21635	115.6
	"All Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	25	22251	112.4
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	17	7991	212.7
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	27	8594	314.2
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	27	9056	298.1
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	31	9974	310.8
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	41	10722	382.4
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	20	11750	170.2
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	27	12657	213.3
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	40	13663	292.8
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	37	14244	259.8
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	42	15143	277.4
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	39	16103	242.2
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	39	17236	226.3
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	39	18099	215.5
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	23	7572	303.8
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	23	8123	283.1
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	27	8558	315.5
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	32	9521	336.1
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	32	10188	314.1
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	32	10935	292.6
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	34	11825	287.5
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	42	12663	331.7
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	40	13243	302.0
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	42	14136	297.1
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	38	15239	249.4
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	45	16310	275.9
	"All Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	48	17139	280.1
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	31	5813	533.3
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	35	6370	549.5
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	31	6736	460.2
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	23	7227	318.3
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	41	7657	535.5
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	24	8147	294.6
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	26	8658	300.3
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	25	9660	258.8
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	48	10426	460.4
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	31	11608	267.1
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	47	12575	373.8
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	59	13483	437.6
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	26	5294	491.1
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	26	5632	461.6
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	46	5979	769.4
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	33	6281	525.4
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	40	6762	591.5
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	28	7187	389.6
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	36	7659	470.0
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	49	8238	594.8
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	48	9259	518.4
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	50	10088	495.6
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	58	10905	531.9
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	61	11822	516.0
	"All Cancer Sites Combined"	"0"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	54	12694	425.4
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	23	4286	536.6
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	24	4492	534.3
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	18	4786	376.1
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	23	4976	462.2
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	25	5285	473.0
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	23	5604	410.4
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	29	5853	495.5
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	32	6136	521.5
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	35	6601	530.2
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	39	7167	544.2
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	42	7741	542.6
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	45	8369	537.7
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	51	8825	577.9
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	26	3756	692.2
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	27	3890	694.1
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	45	4092	1099.7
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	27	4379	616.6
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	31	4658	665.5
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	39	4948	788.2
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	36	5272	682.9
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	39	5558	701.7
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	54	5931	910.5
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	45	6528	689.3
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	50	7061	708.1
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	56	7532	743.5
	"All Cancer Sites Combined"	"0"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	52	7921	656.5
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	21	3398	618.0
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	30	3595	834.5
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	25	3772	662.8
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	31	3924	790.0
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	26	4071	638.7
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	35	4267	820.2
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	29	4572	634.3
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	38	4744	801.0
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	30	5101	588.1
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	39	5391	723.4
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	37	5674	652.1
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	26	5942	437.6
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	26	2756	943.4
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	18	2899	620.9
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	35	3026	1156.6
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	29	3126	927.7
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	26	3295	789.1
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	38	3388	1121.6
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	33	3526	935.9
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	40	3628	1102.5
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	48	3881	1236.8
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	33	4185	788.5
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	43	4500	955.6
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	29	4774	607.5
	"All Cancer Sites Combined"	"0"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	40	5120	781.2
	"All Cancer Sites Combined"	"0"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	25	2643	945.9
	"All Cancer Sites Combined"	"0"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	19	2714	700.1
	"All Cancer Sites Combined"	"0"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	17	2815	603.9
	"All Cancer Sites Combined"	"0"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	26	2957	879.3
	"All Cancer Sites Combined"	"0"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	30	3048	984.3
	"All Cancer Sites Combined"	"0"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	21	3243	647.5
	"All Cancer Sites Combined"	"0"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	23	3275	702.3
	"All Cancer Sites Combined"	"0"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	24	3462	693.2
	"All Cancer Sites Combined"	"0"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	25	3665	682.1
	"All Cancer Sites Combined"	"0"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	28	3874	722.8
	"All Cancer Sites Combined"	"0"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	24	4043	593.6
	"All Cancer Sites Combined"	"0"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	31	4166	744.1
	"All Cancer Sites Combined"	"0"	"75-79 years"	"75-79"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	16	1749	914.8
